Nr. ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Strasse  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  E-Mail ;
52 ; Nicolas ; Burghardt ; 10.2.1958 ; Oscar-Wilde-Str. 150 ; 57610 ; Bachenberg ; 02681 / 78053507 ; 0177 / 7515510 ; n.burghardt@mail.xyz ;
53 ; Marina ; Wenig ; 3.12.1939 ; Dachsleite 56 ; 86856 ; Hiltenfingen ; 08232 / 57953851 ; 0168 / 6472687 ; marina.wenig@mail.xyz ;
54 ; Muhammed ; Heuser ; 15.5.1991 ; Kriegerweg 59 ; 38170 ; Winnigstedt ; 05332 / 31817146 ; 0163 / 5200839 ; muhammed.heuser@mail.xyz ;
55 ; Joelina ; Kassner ; 3.7.1955 ; Am Nubbenberg 14 ; 16775 ; Sonnenberg ; 03306 / 28704750 ; 0163 / 3700776 ; joelina.kassner@mail.xyz ;
56 ; Bernhardt ; Christian ; 11.7.1999 ; Eifelstr. 166 ; 08491 ; Netzschkau ; 03765 / 59147806 ; 0170 / 8433698 ; b.christian@mail.xyz ;
57 ; Valentin ; Schuler ; 10.6.1978 ; Dauvem�hle 142 ; 55596 ; Waldb�ckelheim ; 06758 / 57506849 ; 0164 / 8899402 ; v.schuler@mail.xyz ;
58 ; Laura ; B�sl ; 25.3.1977 ; Drachterstr. 93 ; 84576 ; Teising ; 08633 / 29405796 ; 0153 / 2858601 ; l.boesl@mail.xyz ;
59 ; Anica ; Steele ; 25.6.1938 ; Rennbahnstr. 33 ; 25767 ; Bunsoh ; 04835 / 29606920 ; 0152 / 3624983 ; anica.steele@mail.xyz ;
60 ; Ingeborg ; Hofmann ; 14.6.1936 ; Wildpfad 37 ; 21493 ; Talkau ; 04156 / 23444216 ; 0157 / 4777266 ; i.hofmann@mail.xyz ;
61 ; Ida ; Junker ; 3.2.1931 ; Kapellenstr. 79 ; 93326 ; Abensberg ; 09443 / 84521161 ; 0158 / 3208355 ; ida.junker@mail.xyz ;
62 ; Mats ; Richardson ; 1.8.1993 ; Unter Kahlenhausen 111 ; 55756 ; Herrstein ; 06785 / 22917514 ; 0152 / 7248560 ; m.richardson@mail.xyz ;
63 ; Jill ; Eden ; 7.6.1936 ; Mecklenbecker Str. 36 ; 66453 ; Gersheim ; 06843 / 49549985 ; 0156 / 8219587 ; j.eden@mail.xyz ;
64 ; Jannik ; Fuerst ; 21.8.1959 ; R�ttgensweg 13 ; 52070 ; Aachen ; 0241 / 63833166 ; 0172 / 1392851 ; j.fuerst@mail.xyz ;
65 ; Mina ; Frei ; 10.9.1978 ; Friesenring 146 ; 23919 ; G�ldenitz ; 04544 / 50642394 ; 0176 / 8410416 ; mina.frei@mail.xyz ;
66 ; Marie ; Sigl ; 3.6.1983 ; Mierendorffstr. 120 ; 83624 ; Otterfing ; 08024 / 5719738 ; 0173 / 6027985 ; marie.sigl@mail.xyz ;
67 ; Henry ; Schwager ; 6.5.1925 ; Baumberger Str. 128 ; 67317 ; Altleiningen ; 06356 / 91026450 ; 0159 / 9796351 ; h.schwager@mail.xyz ;
68 ; Friedrich ; Heider ; 2.11.1947 ; Papenbusch 24 ; 33142 ; B�ren ; 02951 / 2991365 ; 0158 / 3836309 ; friedrich.heider@mail.xyz ;
69 ; Paula ; Hofmeister ; 4.8.1972 ; K�nigsberger Str. 190 ; 56459 ; Langenhahn ; 02663 / 35542653 ; 0165 / 7955268 ; p.hofmeister@mail.xyz ;
70 ; Aylin ; Kastner ; 3.6.1946 ; Johann-Krane-Weg 150 ; 57539 ; Breitscheidt ; 02682 / 61295677 ; 0179 / 5739276 ; a.kastner@mail.xyz ;
71 ; Bennet ; Spiess ; 1.4.1963 ; Hansaring 89a ; 37434 ; Obernfeld ; 05528 / 82730425 ; 0168 / 7722427 ; bennet.spiess@mail.xyz ;
72 ; Jannes ; Dixon ; 16.10.1967 ; Hoove 96 ; 85128 ; Nassenfels ; 08424 / 20405559 ; 0153 / 8544575 ; j.dixon@mail.xyz ;
73 ; Otto ; Both ; 18.1.1970 ; Am Getterbach 62 ; 67749 ; Nerzweiler ; 06304 / 45915291 ; 0174 / 9693580 ; o.both@mail.xyz ;
74 ; Karina ; Kempf ; 22.5.1961 ; Johanniterstr. 86 ; 55776 ; Frauenberg ; 06787 / 43878119 ; 0155 / 7470565 ; k.kempf@mail.xyz ;
75 ; Jacqueline ; Selig ; 7.11.1949 ; Bernhard-Poether-Str. 21 ; 54675 ; Nusbaum ; 06564 / 92120479 ; 0154 / 5039590 ; j.selig@mail.xyz ;
76 ; Linn ; Selzer ; 10.9.1974 ; Papenbusch 50 ; 24594 ; Remmels ; 04871 / 5494603 ; 0153 / 8038252 ; linn.selzer@mail.xyz ;
77 ; Sina ; Hopkins ; 15.7.1979 ; M�serweg 133 ; 24894 ; Twedt ; 04622 / 49366427 ; 0150 / 9068374 ; s.hopkins@mail.xyz ;
78 ; Anabel ; Geisler ; 3.9.1937 ; Morthorststr. 59 ; 54576 ; Dohm-Lammersdorf ; 06593 / 96603193 ; 0179 / 1240906 ; anabel.geisler@mail.xyz ;
79 ; Sarah ; Teichmann ; 11.5.1990 ; Wolbecker Str. 109 ; 56283 ; Morshausen ; 06747 / 43809586 ; 0168 / 6119864 ; s.teichmann@mail.xyz ;
80 ; Kira ; Abel ; 20.11.2000 ; Von-Holte-Str. 200 ; 45403 ; M�lheim an der Ruhr ; 0208 / 76418465 ; 0166 / 5438230 ; k.abel@mail.xyz ;
81 ; Gerda ; Ehrhardt ; 6.8.1978 ; Am Krausen Baum 123 ; 02906 ; Kreba-Neudorf ; 03588 / 60455188 ; 0177 / 1932411 ; gerda.ehrhardt@mail.xyz ;
82 ; Kyra ; Christ ; 11.11.1993 ; Langeworth 109 ; 47179 ; Duisburg ; 0203 / 9783230 ; 0176 / 3191207 ; kyra.christ@mail.xyz ;
83 ; Catharina ; Tempel ; 17.4.1935 ; Breul 159 ; 53498 ; Waldorf ; 02636 / 43017414 ; 0171 / 8038551 ; catharina.tempel@mail.xyz ;
84 ; Kim ; Bode ; 12.4.2000 ; R�ttgensweg 126 ; 44652 ; Herne ; 02323 / 41618224 ; 0160 / 3686092 ; k.bode@mail.xyz ;
85 ; Lewin ; Schwalbe ; 26.4.1938 ; Dreilinden 124 ; 94166 ; Stubenberg ; 08571 / 38646499 ; 0168 / 8669437 ; l.schwalbe@mail.xyz ;
86 ; Josefine ; Krings ; 5.8.1930 ; Ostlandstr. 55 ; 92727 ; Waldthurn ; 09657 / 3519845 ; 0153 / 1775464 ; j.krings@mail.xyz ;
87 ; Emelie ; Kleine ; 9.10.1948 ; Hermann-Treff-Weg 117 ; 25884 ; Vi�l ; 04843 / 65053258 ; 0178 / 2462992 ; e.kleine@mail.xyz ;
88 ; J�rg ; Zimmerman ; 24.7.1991 ; Eibenweg 60 ; 91227 ; Leinburg ; 09120 / 80355675 ; 0176 / 5162967 ; joerg.zimmerman@mail.xyz ;
89 ; Timo ; Morris ; 12.5.1939 ; Marktstr. 184 ; 86504 ; Merching ; 08233 / 5646451 ; 0156 / 5519407 ; t.morris@mail.xyz ;
90 ; Henry ; Wedekind ; 27.3.1993 ; Cheruskerstr. 134 ; 87751 ; Heimertingen ; 08335 / 35344995 ; 0163 / 7649705 ; henry.wedekind@mail.xyz ;
91 ; Marie ; Keck ; 8.8.1962 ; Starweg 14 ; 98693 ; Ilmenau ; 03677 / 23901328 ; 0158 / 6759839 ; m.keck@mail.xyz ;
92 ; Waltraut ; Hipp ; 2.11.1982 ; Steinfurter Str. 179 ; 99425 ; Weimar ; 03643 / 55905806 ; 0176 / 4965263 ; waltraut.hipp@mail.xyz ;
93 ; Luca ; Br�utigam ; 11.6.1973 ; Rosenplatz 64 ; 29352 ; Adelheidsdorf ; 05085 / 49405698 ; 0153 / 7036279 ; luca.braeutigam@mail.xyz ;
94 ; Patrick ; Wright ; 18.6.1924 ; Max-Winkelmann-Str. 136 ; 94143 ; Grainet ; 08585 / 72513288 ; 0150 / 9052646 ; p.wright@mail.xyz ;
95 ; Monica ; Ratz ; 28.5.1990 ; Bielefelder Str. 194 ; 56422 ; Wirges ; 02602 / 95510365 ; 0167 / 7494069 ; monica.ratz@mail.xyz ;
96 ; Saskia ; Wessels ; 2.12.1922 ; �lbergstr. 74 ; 89073 ; Ulm ; 0731 / 52347067 ; 0175 / 9730001 ; s.wessels@mail.xyz ;
97 ; Astrid ; Hilbig ; 24.4.1985 ; Vorgebirgstr. 54 ; 25569 ; Kremperheide ; 04824 / 92254537 ; 0174 / 5207682 ; astrid.hilbig@mail.xyz ;
98 ; Lena ; Merk ; 21.5.1929 ; Carossastr. 10 ; 41372 ; Niederkr�chten ; 02163 / 80189953 ; 0172 / 4946528 ; l.merk@mail.xyz ;
99 ; Lilian ; Griffith ; 27.11.1972 ; Uhuweg 153 ; 56477 ; Zehnhausen ; 02664 / 92141080 ; 0160 / 3532966 ; lilian.griffith@mail.xyz ;
100 ; Ben ; Hauke ; 27.11.1963 ; Jakobusstr. 118 ; 25746 ; Ostrohe ; 0481 / 23896591 ; 0171 / 3109949 ; b.hauke@mail.xyz ;
101 ; Marieke ; Ebersp�cher ; 19.8.1947 ; P�tterhoek 179 ; 85126 ; M�nchsm�nster ; 08402 / 95107771 ; 0172 / 6650367 ; m.eberspaecher@mail.xyz ;
102 ; Frieda ; Zinn ; 8.7.1953 ; Mersmannsstiege 24 ; 87538 ; Obermaiselstein ; 08326 / 30987855 ; 0169 / 7653102 ; frieda.zinn@mail.xyz ;
103 ; Jean ; Papst ; 15.11.1943 ; �lbergstr. 31 ; 45468 ; M�lheim an der Ruhr ; 0208 / 63854514 ; 0174 / 1700172 ; j.papst@mail.xyz ;
104 ; Kerstin ; Cao ; 28.4.1944 ; H�lsebrockstr. 39 ; 56651 ; Oberd�renbach ; 02636 / 59251349 ; 0170 / 3552679 ; kerstin.cao@mail.xyz ;
105 ; Lorenz ; Wiemer ; 24.11.2000 ; Ker�enbrockstr. 27 ; 95197 ; Schauenstein ; 09252 / 48300476 ; 0166 / 8286154 ; lorenz.wiemer@mail.xyz ;
106 ; Ali ; Ziller ; 16.10.1945 ; Heisstr. 108a ; 41464 ; Neuss ; 02131 / 17354145 ; 0175 / 5133643 ; ali.ziller@mail.xyz ;
107 ; Mara ; K�fer ; 2.10.1975 ; Hirseweg 36 ; 29664 ; Walsrode ; 05161 / 19907175 ; 0168 / 5501550 ; mara.kaefer@mail.xyz ;
108 ; Maya ; Bacher ; 12.10.1990 ; Am Oedingteich 171 ; 56379 ; Steinsberg ; 06432 / 74253070 ; 0168 / 2594348 ; m.bacher@mail.xyz ;
109 ; Mert ; Erhard ; 1.7.1993 ; Herdingstr. 24a ; 04319 ; Engelsdorf ; 0341 / 96309672 ; 0167 / 6486080 ; mert.erhard@mail.xyz ;
110 ; Ole ; Teichmann ; 14.2.1977 ; Maximilianstr. 130 ; 24409 ; Stolteb�ll ; 04642 / 50252447 ; 0166 / 2057959 ; o.teichmann@mail.xyz ;
111 ; Reinhard ; Andres ; 10.9.1987 ; Neusser Str. 8 ; 19089 ; G�hren ; 03863 / 80787614 ; 0155 / 4471160 ; reinhard.andres@mail.xyz ;
112 ; Rosemarie ; Labyrinth ; 24.10.1998 ; Emdener Str. 87 ; 38889 ; H�ttenrode ; 03944 / 92057308 ; 0157 / 9661432 ; rosemarie.labyrinth@mail.xyz ;
113 ; Ilse ; Bernhardt ; 13.11.1920 ; Studtstr. 23 ; 54655 ; Zendscheid ; 06563 / 40241373 ; 0179 / 1395188 ; i.bernhardt@mail.xyz ;
114 ; Jenny ; Farmer ; 10.7.1936 ; Ulmenweg 69 ; 29599 ; Weste ; 05805 / 39909744 ; 0152 / 5582529 ; j.farmer@mail.xyz ;
115 ; Waldtraut ; Buchner ; 28.4.1970 ; B�ttcherstr. 59 ; 38685 ; Langelsheim ; 05326 / 90081204 ; 0155 / 2458707 ; w.buchner@mail.xyz ;
116 ; Neele ; Petersen ; 5.1.1993 ; Manfred-von-Richthofen-Str. 44 ; 01159 ; Dresden ; 0351 / 74859080 ; 0179 / 7825814 ; neele.petersen@mail.xyz ;
117 ; Joel ; Carstens ; 13.2.1979 ; Mierendorffstr. 140 ; 12489 ; Treptow-K�penick ; 030 / 33265345 ; 0171 / 6464052 ; j.carstens@mail.xyz ;
118 ; Leandra ; Hintz ; 13.6.1968 ; Friesenring 115 ; 25788 ; Wallen ; 04838 / 83149503 ; 0164 / 7979449 ; leandra.hintz@mail.xyz ;
119 ; Rieke ; Gehrig ; 27.1.1927 ; Mersmannsstiege 57 ; 67706 ; Krickenbach ; 06307 / 19325818 ; 0152 / 4141442 ; rieke.gehrig@mail.xyz ;
120 ; Ayleen ; Lehner ; 5.10.1946 ; Meinertzstr. 197 ; 67813 ; Sankt Alban ; 06361 / 27356234 ; 0154 / 4909954 ; ayleen.lehner@mail.xyz ;
121 ; Anica ; Schl�ter ; 3.3.1964 ; Telemannstr. 108 ; 99734 ; Nordhausen ; 03631 / 42811447 ; 0164 / 6317699 ; anica.schlueter@mail.xyz ;
122 ; Selina ; Simpson ; 1.10.1933 ; Berrischstr. 172 ; 92637 ; Weiden ; 0961 / 35476224 ; 0150 / 8284944 ; s.simpson@mail.xyz ;
123 ; Teresa ; Dittmann ; 14.12.1982 ; Am Getterbach 161 ; 74928 ; H�ffenhardt ; 06268 / 53825337 ; 0153 / 4823666 ; teresa.dittmann@mail.xyz ;
124 ; Viktoria ; Cain ; 18.7.1925 ; Im Stemmen 182 ; 96152 ; Burghaslach ; 09552 / 54348760 ; 0179 / 5466682 ; viktoria.cain@mail.xyz ;
125 ; Benjamin ; Pasch ; 17.4.1936 ; Guntherstr. 197 ; 23628 ; Krummesse ; 04508 / 26258404 ; 0169 / 6437764 ; benjamin.pasch@mail.xyz ;
126 ; Lorena ; Brendel ; 12.11.1953 ; Havichhorster M�hle 59 ; 91080 ; Marloffstein ; 09131 / 19423212 ; 0158 / 5890023 ; l.brendel@mail.xyz ;
127 ; Florian ; Kehrer ; 27.4.1969 ; Starweg 144 ; 67744 ; Lohnweiler ; 06382 / 12870489 ; 0172 / 7567248 ; florian.kehrer@mail.xyz ;
128 ; Klaus ; Normann ; 27.6.1927 ; Bernhard-Poether-Str. 182 ; 25870 ; Oldenswort ; 04864 / 45982652 ; 0172 / 1676879 ; klaus.normann@mail.xyz ;
129 ; Kian ; Grieche ; 8.4.1965 ; Kurze Str. 39 ; 88447 ; Warthausen ; 07351 / 49210674 ; 0171 / 5644590 ; kian.grieche@mail.xyz ;
130 ; Ann ; Michels ; 14.1.1940 ; Piusstr. 143 ; 54597 ; Feuerscheid ; 06551 / 75681604 ; 0173 / 8726313 ; a.michels@mail.xyz ;
131 ; Lucy ; Volz ; 10.12.1952 ; Dahlienweg 53a ; 25575 ; Beringstedt ; 04874 / 88578215 ; 0152 / 7246379 ; lucy.volz@mail.xyz ;
132 ; Sam ; Kahn ; 20.11.1947 ; Wollinstr. 96 ; 71665 ; Vaihingen an der Enz ; 07042 / 30419138 ; 0166 / 6816318 ; s.kahn@mail.xyz ;
133 ; Conner ; Wessels ; 26.3.1960 ; R�schhausweg 150 ; 76865 ; Insheim ; 06341 / 26565388 ; 0152 / 5722047 ; c.wessels@mail.xyz ;
134 ; Gerd ; Nachtigall ; 27.9.1985 ; Starweg 62 ; 25924 ; Klanxb�ll ; 04668 / 67976300 ; 0162 / 6278523 ; g.nachtigall@mail.xyz ;
135 ; Phil ; Seeberger ; 22.12.1932 ; Piusallee 18 ; 56295 ; Lonnig ; 02654 / 38539471 ; 0164 / 5021443 ; p.seeberger@mail.xyz ;
136 ; Lili ; Hertwig ; 18.9.1953 ; Erpeler Str. 165 ; 97320 ; Mainstockheim ; 09321 / 78925588 ; 0179 / 2822491 ; lili.hertwig@mail.xyz ;
137 ; Bernd ; Jahns ; 20.9.1938 ; H�lkenbusch 161 ; 58097 ; Hagen ; 02331 / 31306003 ; 0175 / 8001418 ; b.jahns@mail.xyz ;
138 ; Celina ; Behrendt ; 24.11.1926 ; Meinertzstr. 59 ; 66879 ; Kollweiler ; 06385 / 60584013 ; 0159 / 4607914 ; c.behrendt@mail.xyz ;
139 ; Inga ; Waller ; 21.3.1932 ; Dorbaumstr. 172 ; 67152 ; Ruppertsberg ; 06326 / 24046944 ; 0168 / 4887244 ; inga.waller@mail.xyz ;
140 ; Cedric ; D�ring ; 23.11.1939 ; Nienkamp 137 ; 50858 ; K�ln ; 0221 / 56361560 ; 0165 / 4693635 ; c.doering@mail.xyz ;
141 ; Curt ; Zabel ; 24.3.1988 ; Dingb�ngerweg 62 ; 66887 ; Welchweiler ; 06381 / 43931114 ; 0168 / 2596446 ; c.zabel@mail.xyz ;
142 ; Willy ; S�ss ; 13.7.1961 ; Grevener Str. 155 ; 57614 ; Borod ; 02662 / 42288283 ; 0159 / 5560723 ; willy.suess@mail.xyz ;
143 ; Fiona ; Bridges ; 1.8.1930 ; Papenbusch 119 ; 27305 ; S�stedt ; 04252 / 25881709 ; 0170 / 9343946 ; f.bridges@mail.xyz ;
144 ; Leonard ; Martens ; 23.1.1933 ; Soetenkamp 104 ; 83700 ; Rottach-Egern ; 08022 / 33687266 ; 0177 / 8829555 ; leonard.martens@mail.xyz ;
145 ; Judith ; Baumgart ; 23.4.1977 ; Westenkamp 134 ; 67316 ; Carlsberg ; 06356 / 88397295 ; 0156 / 3975074 ; j.baumgart@mail.xyz ;
146 ; Isabell ; Michel ; 4.9.1944 ; Manfred-von-Richthofen-Str. 55 ; 74239 ; Hardthausen am Kocher ; 07139 / 97634958 ; 0150 / 8623983 ; i.michel@mail.xyz ;
147 ; Kathrin ; Hinkelmann ; 9.3.1963 ; Norbertstr. 176 ; 28219 ; Bremen ; 0421 / 51609716 ; 0168 / 2728027 ; k.hinkelmann@mail.xyz ;
148 ; Stephan ; Fields ; 18.6.1921 ; Parkallee 150 ; 97702 ; M�nnerstadt ; 09733 / 67377634 ; 0165 / 6515412 ; stephan.fields@mail.xyz ;
149 ; Nicolas ; Schiller ; 5.7.1936 ; Hensenstr. 117 ; 45289 ; Essen ; 0201 / 58256175 ; 0151 / 9908044 ; n.schiller@mail.xyz ;
